tconst,primaryTitle,startYear
tt0054601,Ada,1961
tt0054603,Adorable menteuse,1962
tt0054605,The Nina B. Affair,1961
tt0054610,Alba Regia,1961
tt0054614,All Night Long,1962
tt0054615,All in a Night's Work,1961
tt0054618,Alye parusa,1961
tt0054619,Alyonka,1962
tt0054621,Five Day Lover,1961
tt0054628,Angel Baby,1961
tt0054630,Anima nera,1962
tt0054631,The Littlest Warrior,1961
tt0054632,Last Year at Marienbad,1961
tt0054635,Armas contra la ley,1961
tt0054637,"My Son, the Hero",1962
tt0054640,The Assassin,1961
tt0054643,Los atracadores,1962
tt0054647,On the Sunny Side,1962
tt0054649,Babes in Toyland,1961
tt0054652,Bachelor in Paradise,1961
tt0054653,Back Street,1961
tt0054656,Ballad About a Trumpet and a Cloud,1961
tt0054659,Baltiyskoe nebo - 2 seriya,1961
tt0054661,Bankraub in der Rue Latour,1961
tt0054662,The Bath House,1962
tt0054664,Barbara - Wild wie das Meer,1961
tt0054665,The Fabulous Baron Munchausen,1962
tt0054669,Emile's Boat,1962
tt0054672,Der bauer als millionär,1961
tt0054675,Beautiful Mimi,1961
tt0054676,The American Beauty,1961
tt0054677,Bello recuerdo,1961
tt0054678,The Best of Enemies,1961
tt0054684,Girl from Hong Kong,1961
tt0054685,Black Silk,1961
tt0054687,Blast of Silence,1961
tt0054692,Blue Hawaii,1961
tt0054693,Blueprint for Robbery,1961
tt0054696,The Boy Who Stole a Million,1960
tt0054697,The Boys,1962
tt0054698,Breakfast at Tiffany's,1961
tt0054701,Bridge to the Sun,1961
tt0054702,The Brigand,1961
tt0054704,Briggen Tre Liljor,1961
tt0054705,The Bread of Those Early Years,1962
tt0054706,Buddha,1961
tt0054707,Bungala Boys,1961
tt0054708,Bussen,1961
tt0054709,Pigs and Battleships,1961
tt0054716,Cradle Song,1961
tt0054717,Canción de juventud,1962
tt0054723,Capture That Capsule,1961
tt0054727,Carry on Regardless,1961
tt0054731,Cash on Demand,1961
tt0054733,The Cat Burglar,1961
tt0054734,The Counterfeiters of Paris,1961
tt0054735,Cerca de las estrellas,1962
tt0054737,Chhaya,1961
tt0054739,Chelovek niotkuda,1961
tt0054740,The Singer Not the Song,1961
tt0054743,The Children's Hour,1961
tt0054745,Chronicle of a Summer,1961
tt0054747,Red Sky,1962
tt0054748,Cinderella,1961
tt0054749,Two Women,1960
tt0054750,Circle of Deception,1960
tt0054751,Cirkus Buster,1961
tt0054752,Claudelle Inglish,1961
tt0054755,A Cold Wind in August,1961
tt0054757,The Comancheros,1961
tt0054758,Le combat dans l'île,1962
tt0054759,Come September,1961
tt0054761,The Story of the Count of Monte Cristo,1961
tt0054762,Trouble in the Sky,1960
tt0054763,The Connection,1961
tt0054769,Crime Does Not Pay,1962
tt0054770,The Crimebusters,1962
tt0054772,Cry for Happy,1961
tt0054777,The Curse of the Werewolf,1961
tt0054778,Time Past,1961
tt0054780,The Devil's Trap,1962
tt0054781,A Roof Over Your Head,1962
tt0054784,Seppun dorobô,1960
tt0054786,Darclée,1960
tt0054787,Dark Odyssey,1961
tt0054790,The Day the Earth Caught Fire,1961
tt0054791,Days of Thrills and Laughter,1961
tt0054795,The Deadly Companions,1961
tt0054797,Denn das Weib ist schwach,1961
tt0054799,Third Side of the Coin,1960
tt0054800,Destination Fury,1961
tt0054803,Nine Days of One Year,1962
tt0054804,Devichya vesna,1960
tt0054805,The Devil at 4 O'Clock,1961
tt0054806,The Devil's Agent,1962
tt0054811,Diferente,1961
tt0054812,Dokuritsu gurentai nishi-e,1960
tt0054814,Don Camillo monsignore... ma non troppo,1961
tt0054818,Das Dorf ohne Moral,1960
tt0054820,Double Bunk,1961
tt0054821,Le Doulos,1962
tt0054824,Traumland der Sehnsucht,1961
tt0054826,Drei Mann in einem Boot,1961
tt0054828,My Friend Kolka,1961
tt0054829,Drugi czlowiek,1961
tt0054830,The Two Marshals,1961
tt0054831,Dui Bhai,1961
tt0054832,Night of Passion,1960
tt0054833,Dve zhizni,1961
tt0054835,Dzis w nocy umrze miasto,1961
tt0054837,Midnight Folly,1961
tt0054838,The Immoral Moment,1962
tt0054840,Echo of Barbara,1961
tt0054841,Ai de jiao yu,1961
tt0054842,The Marriage of Mr. Mississippi,1961
tt0054843,Marriage Bureau Aurora,1962
tt0054845,Immortal Love,1961
tt0054846,Eine hübscher als die andere,1961
tt0054847,El Cid,1961
tt0054849,Epitaph to My Love,1961
tt0054850,Hercules in the Haunted World,1961
tt0054853,The Errand Boy,1961
tt0054855,Es muß nicht immer Kaviar sein,1961
tt0054858,"I'm Married, Ha Ha",1962
tt0054861,The Exiles,1961
tt0054862,The Explosive Generation,1961
tt0054864,Der Fall Gleiwitz,1961
tt0054866,Fanny,1961
tt0054867,Ghosts of Rome,1961
tt0054870,The Fascist,1961
tt0054871,I'll Go to the Minister,1962
tt0054873,A Fever in the Blood,1961
tt0054874,The Fiercest Heart,1961
tt0054876,La fille du torrent,1961
tt0054879,Flame in the Streets,1961
tt0054884,Florián,1961
tt0054885,Flower Drum Song,1961
tt0054887,Streng geheim,1963
tt0054890,The Four Horsemen of the Apocalypse,1962
tt0054892,Francis of Assisi,1961
tt0054894,Frau Cheneys Ende,1961
tt0054895,Fray Escoba,1961
tt0054898,The Frightened City,1961
tt0054901,Stop Me Before I Kill!,1960
tt0054904,Bad Boys,1961
tt0054906,The Forger of London,1961
tt0054910,Gunga Jumna,1961
tt0054915,The Youth and His Amulet,1961
tt0054916,The General with the Cockeyed Id,1964
tt0054922,Ye ban you ling,1961
tt0054926,A Day for Lionhearts,1961
tt0054927,"Day by Day, Desperately",1961
tt0054928,The Girl with the Golden Eyes,1961
tt0054929,Girl in Room 13,1960
tt0054931,The Last Judgment,1961
tt0054934,Gold of the Seven Saints,1961
tt0054936,Goodbye Again,1961
tt0054939,The Taste of Violence,1961
tt0054940,The Grand Olympics,1961
tt0054941,Time Out for Love,1961
tt0054942,The Grass Eater,1961
tt0054944,Greyfriars Bobby: The True Story of a Dog,1961
tt0054949,War of the Buttons,1962
tt0054953,The Guns of Navarone,1961
tt0054961,Han robado una estrella,1963
tt0054962,Hana to arashi to gyangu,1961
tt0054964,The Conspirator,1961
tt0054965,Harry og kammertjeneren,1961
tt0054966,Melody of Hate,1962
tt0054967,A Hell of a Guy,1961
tt0054969,"My Son, the Hero",1961
tt0054972,The Hired Gun,1961
tt0054976,It Started Yesterday,1961
tt0054978,Stories of the Revolution,1960
tt0054980,Der Hochtourist,1961
tt0054986,Man on Pink Corner,1962
tt0054988,Homicidal,1961
tt0054989,The Honeymoon Machine,1961
tt0054991,The Hoodlum Priest,1961
tt0054993,The Horse with the Flying Tail,1960
tt0054997,The Hustler,1961
tt0054998,Million Dollar Smash-and-Grab,1961
tt0054999,Házasságból elégséges,1962
tt0055001,I'll Give My Life,1960
