tconst,primaryTitle,startYear
tt0042986,Something in the City,1950
tt0042987,Sorceror,1950
tt0042988,Under the Paris Sky,1951
tt0042989,Southside 1-1000,1950
tt0042991,Spy Hunt,1950
tt0042994,Stage Fright,1950
tt0042998,Stars in My Crown,1950
tt0042999,State Penitentiary,1950
tt0043000,Stella,1950
tt0043003,Storm Over Wyoming,1950
tt0043006,Strano appuntamento,1950
tt0043007,Streets of Ghost Town,1950
tt0043012,Summer Stock,1950
tt0043014,Sunset Blvd.,1950
tt0043015,Sunset in the West,1950
tt0043016,Surcos de sangre,1950
tt0043017,Surrender,1950
tt0043018,Susana,1951
tt0043020,Séptima página,1951
tt0043022,También de dolor se canta,1950
tt0043024,Tarnished,1950
tt0043026,Tathapi,1950
tt0043027,The Tattooed Stranger,1950
tt0043029,Taxi-Kitty,1950
tt0043030,Tea for Two,1950
tt0043031,Teatro Apolo,1950
tt0043032,Tenya wanya,1950
tt0043039,They Were Not Divided,1950
tt0043040,This Side of the Law,1950
tt0043041,Three Came Home,1950
tt0043044,Three Little Words,1950
tt0043045,Three Secrets,1950
tt0043046,A Ticket to Tomahawk,1950
tt0043048,To Joy,1950
tt0043050,The Titan: Story of Michelangelo,1950
tt0043052,To Please a Lady,1950
tt0043053,The Toast of New Orleans,1950
tt0043058,Totò cerca moglie,1950
tt0043059,Totò sceicco,1950
tt0043061,Trail of Robin Hood,1950
tt0043062,Trail of the Rustlers,1950
tt0043065,The Traveling Saleswoman,1950
tt0043066,Three Steps North,1951
tt0043067,Treasure Island,1950
tt0043068,Trial Without Jury,1950
tt0043069,"Trigger, Jr.",1950
tt0043071,Triple Trouble,1950
tt0043075,The Sound of Fury,1950
tt0043078,The 20 Questions Murder Mystery,1950
tt0043079,Two Flags West,1950
tt0043081,Two Weeks with Love,1950
tt0043083,Tyrant of the Sea,1950
tt0043086,Under the Gun,1951
tt0043087,Undercover Girl,1950
tt0043088,The Underworld Story,1950
tt0043090,Union Station,1950
tt0043091,Unmasked,1950
tt0043093,Till We Meet Again,1950
tt0043095,V mirnye dni,1951
tt0043099,La vendedora de fantasías,1950
tt0043100,Vendetta,1950
tt0043106,Vigilante Hideout,1950
tt0043108,A Dog's Life,1950
tt0043109,The White Cat,1950
tt0043110,Vom Teufel gejagt,1950
tt0043114,Vértigo,1953
tt0043115,Victims of Sin,1951
tt0043116,Wabash Avenue,1950
tt0043117,Wagon Master,1950
tt0043118,"Walk Softly, Stranger",1950
tt0043120,Watch the Birdie,1950
tt0043121,Waterfront Women,1950
tt0043123,The West Point Story,1950
tt0043125,West of the Brazos,1950
tt0043126,Western Pacific Agent,1950
tt0043129,When Willie Comes Marching Home,1950
tt0043130,When You're Smiling,1950
tt0043131,Where Danger Lives,1950
tt0043132,Where the Sidewalk Ends,1950
tt0043134,The White Tower,1950
tt0043137,Winchester '73,1950
tt0043139,Life of a Beijing Policeman,1950
tt0043140,Five Angles on Murder,1950
tt0043141,A Woman of Distinction,1950
tt0043142,Woman on the Run,1950
tt0043143,Her Panelled Door,1950
tt0043146,Wonder Boy,1951
tt0043147,The Wooden Horse,1950
tt0043149,Wyoming Mail,1950
tt0043150,The Yellow Cab Man,1950
