tconst,primaryTitle,startYear
tt0080778,Gay Club,1981
tt0080779,Gekkenbriefje,1981
tt0080780,The Yellow Star: The Persecution of the Jews in Europe - 1933-1945,1981
tt0080784,Getting Over,1981
tt0080790,Gilda Live,1980
tt0080793,Girls,1980
tt0080798,Gloria,1980
tt0080801,The Gods Must Be Crazy,1980
tt0080806,Golem,1980
tt0080811,El gran secreto,1980
tt0080813,The Great Rock 'n' Roll Swindle,1980
tt0080821,Grzeszny zywot Franciszka Buly,1980
tt0080823,Der grüne Vogel,1980
tt0080824,Gu shou,1983
tt0080825,Guardafronteras,1981
tt0080827,Encounter of the Spooky Kind,1980
tt0080828,Encounter of the Spooky Kind II,1989
tt0080834,5 and 5,1980
tt0080840,Hard Knocks,1980
tt0080842,Harlequin,1980
tt0080843,A Distant Cry from Spring,1980
tt0080845,Die xian,1980
tt0080848,The School We Went To,1980
tt0080852,Headin' for Broadway,1980
tt0080855,Heaven's Gate,1980
tt0080856,The Kingdom of Diamonds,1980
tt0080858,Hellegat,1980
tt0080862,Herbstromanze,1981
tt0080863,Hero at Large,1980
tt0080867,Baba!,1983
tt0080868,Hide in Plain Sight,1980
tt0080874,Adrien's Story,1980
tt0080876,Historias de mujeres,1980
tt0080877,Historias prohibidas de Pulgarcito,1980
tt0080881,The Hollywood Knights,1980
tt0080886,L'homme à tout faire,1980
tt0080888,Honeysuckle Rose,1980
tt0080889,Hopscotch,1980
tt0080894,Hounds of Notre Dame,1980
tt0080895,How to Beat the High Cost of Living,1980
tt0080898,Huang Fei Hong yu gui jiao qi,1980
tt0080901,Hum Paanch,1980
tt0080905,Fists of the White Lotus,1980
tt0080906,Hungerjahre - in einem reichen Land,1980
tt0080907,The Hunter,1980
tt0080910,The Age of the Earth,1980
tt0080911,Ideaalmaastik,1981
tt0080912,Idealnyy muzh,1981
tt0080913,The Idolmaker,1980
tt0080920,In the Shadow of the Sun,1981
tt0080923,Inferno,1980
tt0080924,So Feared a Hell,1980
tt0080926,Insaf Ka Tarazu,1980
tt0080928,Inside Moves,1980
tt0080929,Inspector Blunder,1980
tt0080930,Inupiatun: In the Manner of the Eskimo,1982
tt0080939,Scenes from Life of People on Leave,1981
tt0080941,Jadup und Boel,1980
tt0080957,The Games of Countess Dolingen,1981
tt0080958,Ming jian,1980
tt0080965,Joe Albany... a Jazz Life,1980
tt0080969,Journeys from Berlin/1971,1980
tt0080971,The Victim,1980
tt0080979,Kagemusha,1980
tt0080982,Kalyug,1981
tt0080983,The Candidate,1980
tt0080995,"Khleb, zoloto, nagan",1981
tt0080996,Claws of the Eagle,1980
tt0080998,"Quilas, the Bad of the Picture",1980
tt0081006,Kojak Budapesten,1980
tt0081007,Der Komantsche,1980
tt0081010,Kong shou ru bai ren,1980
tt0081012,The Raven's Dance,1980
tt0081013,Koto,1980
tt0081019,Crazy Thunder Road,1980
tt0081024,"Köszönöm, megvagyunk",1981
tt0081025,Laat de dokter maar schuiven,1980
tt0081026,Labbra bagnate,1981
tt0081045,Levins Mühle,1980
tt0081048,Lichnoy bezopasnosti ne garantiruyu,1983
tt0081053,The Life and Times of Rosie the Riveter,1980
