tconst,primaryTitle,startYear
tt0099924,Karer,1990
tt0099927,Song of the Exile,1990
tt0099938,Kindergarten Cop,1990
tt0099939,King of New York,1990
tt0099946,Kodeks molchaniya,1990
tt0099949,Korczak,1990
tt0099950,Vigour,1990
tt0099951,The Krays,1990
tt0099954,Krokodillen in Amsterdam,1990
tt0099961,Kwagga Strikes Back,1990
tt0099965,Lacenaire,1990
tt0099966,Dance of the Polar Bears,1990
tt0099970,Land in Sicht,1990
tt0099995,Swan Lake: The Zone,1990
tt0099996,Legacy,1993
tt0100002,Lekin...,1990
tt0100006,Let the Music Dance,1990
tt0100016,La liberté d'une statue,1990
tt0100024,Life Is Sweet,1990
tt0100027,Lina,1990
tt0100029,Lionheart,1990
tt0100042,The Most Natural Thing,1991
tt0100046,The Long Walk Home,1990
tt0100047,Legend of the Dragon,1991
tt0100048,Licence to Steal,1990
tt0100054,Lord of the Flies,1990
tt0100069,Lovushka dlya odinokogo muzhchiny,1990
tt0100071,Shanghai Shanghai,1990
tt0100072,Luba,1990
tt0100075,The Moon in the Mirror,1990
tt0100082,Ma yi chuan qi,1990
tt0100083,Macken - Roy's & Roger's Bilservice,1990
tt0100093,The Quarry,1990
tt0100097,Dark Illness,1990
tt0100098,Malvadez,1991
tt0100110,Le marché du couple,1990
tt0100112,The Hairdresser's Husband,1990
tt0100114,Marked for Death,1990
tt0100115,Martha et moi,1990
tt0100133,Memphis Belle,1990
tt0100134,Men Don't Leave,1990
tt0100135,Men at Work,1990
tt0100140,Mermaids,1990
tt0100142,Metropolitan,1990
tt0100143,Miami Blues,1990
tt0100144,Queen of Temple Street,1990
tt0100150,Miller's Crossing,1990
tt0100151,Mindwalk,1990
tt0100153,Die Ministranten,1990
tt0100157,Misery,1990
tt0100161,Mister Frost,1990
tt0100167,The Stone Age Warriors,1991
tt0100168,Mo' Better Blues,1990
tt0100177,Monsieur,1990
tt0100194,Motýlí cas,1991
tt0100196,Mountains of the Moon,1990
tt0100197,Mów mi Rockefeller,1990
tt0100198,Moya moryachka,1990
tt0100200,Mr. & Mrs. Bridge,1990
tt0100201,Mr. Destiny,1990
tt0100212,My Blue Heaven,1990
tt0100215,My stranno vstretilis,1990
tt0100219,Toward Jerusalem,1991
tt0100222,Naked Tango,1990
tt0100223,"Napló apámnak, anyámnak",1990
tt0100224,Narrow Margin,1990
tt0100225,That Czech Song of Ours II,1990
tt0100226,Nash chelovek v San-Remo,1990
tt0100227,Nasha dacha,1990
tt0100230,The Natural History of Parking Lots,1990
tt0100231,Nautilus,1990
tt0100234,Close-Up,1990
tt0100237,Neuner,1990
tt0100239,Never Leave Nevada,1990
tt0100244,Nie im Leben,1990
tt0100258,Night of the Living Dead,1990
tt0100260,Nightbreed,1990
tt0100263,La Femme Nikita,1990
tt0100267,Nobat e Asheghi,1995
tt0100269,"'Non', ou A Vã Glória de Mandar",1990
tt0100274,Nouvelle vague,1990
tt0100277,Summer Night in Town,1990
tt0100280,Nuns on the Run,1990
tt0100281,The Nutcracker Prince,1990
tt0100287,Old Explorers,1990
tt0100289,Olle Hexe,1991
tt0100297,Edinstveniyat svidetel,1990
tt0100301,Opportunity Knocks,1990
tt0100303,Operation Corned Beef,1991
tt0100304,Eagle,1990
tt0100312,Tora-san Takes a Vacation,1990
tt0100315,Overseas,1990
tt0100318,Pacific Heights,1990
tt0100322,Palach,1990
tt0100323,Under the Bridge,1991
tt0100330,Paper Mask,1990
tt0100332,Paris Is Burning,1990
tt0100334,Le party,1990
tt0100337,Pasport,1990
tt0100347,Perfectly Normal,1990
tt0100354,The Master Carpenter,1992
tt0100355,Pervyy etazh,1990
tt0100356,Peter in Magicland,1990
tt0100357,The Little Gangster,1990
tt0100360,South Pacific Adventures,1992
tt0100367,Pingu på nya äventyr,1994
tt0100369,The Pit and the Pendulum,1991
tt0100380,Pod severnym siyaniyem,1990
tt0100383,Pokhorony Stalina,1990
tt0100384,Police Public,1990
tt0100387,"Popugay, govoryashchiy na idish",1990
tt0100389,Open Doors,1990
tt0100392,Positive,1990
tt0100393,The Last Butterfly,1991
tt0100395,Postcards from the Edge,1990
tt0100396,Potyautasok,1990
tt0100400,Farewell to Autumn,1990
tt0100401,Pratibandh,1990
tt0100402,Prazakum tem je hej,1991
tt0100403,Predator 2,1990
tt0100404,Presumed Innocent,1990
tt0100405,Pretty Woman,1990
tt0100408,Nel giardino delle rose,1990
tt0100411,Princes in Exile,1990
tt0100414,Prisoners of the Sun,1990
tt0100418,Privilege,1990
tt0100420,O Processo do Rei,1990
tt0100429,The Flea,1990
tt0100432,Pueblo de madera,1990
tt0100435,Tomato,1990
tt0100436,Pump Up the Volume,1990
tt0100442,Q & A,1990
tt0100449,Quick Change,1990
tt0100453,Rafales,1990
tt0100454,Boys on the Outside,1990
tt0100457,Rama Dama,1991
tt0100462,Der Rausschmeißer,1990
tt0100465,Rebro Adama,1991
tt0100469,The Reflecting Skin,1990
tt0100470,Journey of Hope,1990
tt0100473,Rendez-vous au tas de sable,1990
tt0100476,Requiem for Dominic,1990
